signal,choice,contrast
0.13061,1,3.2
0.18259,0,2.56
0.50225,0,3.2
0.48748,0,3.2
0.2955,1,2.56
0.46402,1,3.2
-0.67828,0,3.2
-0.072921,0,4
0.26756,1,4
0.19341,0,3.2
-0.010439,1,3.2
0.81519,1,4
-0.62557,0,4
0.32033,0,3.2
-0.62838,0,3.2
0.31299,0,2.56
-0.3052,0,2.56
-0.64242,0,2.048
0.45622,0,2.048
0.20993,0,1.6384
-0.8348,0,1.6384
0.17683,1,2.048
-0.16591,0,2.048
0.63948,1,1.6384
0.29221,1,2.048
0.062366,1,2.048
0.056586,0,2.56
0.37967,0,2.56
0.42628,0,2.048
-1.0682,1,2.56
0.61688,1,3.2
-0.41926,0,4
0.31909,0,4
-0.15395,1,3.2
-0.17721,0,3.2
0.32476,0,2.56
0.095996,1,10
-0.37742,0,10
-0.5167,0,5
-0.054704,0,5
0.27935,0,2.5
-0.76495,0,5
-0.53507,1,5
0.40022,1,2.5
-0.36924,0,5
-0.32156,0,5
0.5844,0,2.5
0.09964,1,5
0.78869,1,5
-0.065414,1,3.3333
-0.5624,0,5
-0.34821,0,5
-0.22123,0,3.3333
-0.1823,0,3.3333
-0.53954,1,2.2222
0.039861,0,2.2222
0.32884,0,1.4815
-0.30757,0,2.2222
0.26846,0,3.3333
-0.17982,0,3.3333
-0.52649,1,2.2222
0.10111,0,3.3333
-0.33706,0,5
-0.32989,0,5
0.41191,1,4
1.141,1,4
0.2354,0,3.2
-0.26041,0,4
0.15398,1,4
0.074623,0,3.2
-0.32676,0,3.2
-0.060962,1,2.56
0.50197,0,2.56
-0.31023,0,3.2
0.36766,0,3.2
-0.52062,0,2.56
0.33969,0,2.56
-0.12008,0,2.048
0.2075,1,2.56
-0.28882,0,2.56
0.11558,0,2.048
-0.38572,0,2.048
0.85986,1,1.6384
0.20352,0,1.6384
0.24639,1,1.3107
0.024886,0,1.3107
-0.0057731,0,1.6384
-0.56628,1,2.048
0.13369,1,2.56
0.46458,1,2.56
0.30195,1,2.048
0.16492,1,2.048
-0.41862,1,1.6384
0.0041882,0,2.048
0.19667,1,2.048
1.1478,1,1.6384
0.51117,0,1.6384
-0.074175,0,1.3107
-0.59243,0,1.3107
0.55112,0,1.0486
0.13271,1,1.0486
-0.2477,0,0.83886
0.099315,1,0.83886
0.079862,1,0.67109
0.052482,1,0.67109
-0.3934,1,0.53687
-0.98124,1,0.53687
0.3003,0,0.4295
0.39297,0,0.53687
-0.29406,0,0.67109
-0.12555,0,0.67109
0.5691,0,0.83886
-0.29205,0,1.0486
-0.0090549,0,1.0486
0.1159,1,0.83886
0.40298,0,1.0486
0.54187,0,1.0486
0.16489,1,0.83886
-0.034862,0,1.0486
-0.11035,0,1.0486
0.73078,0,1.3107
-0.54955,1,1.6384
-0.55146,1,1.6384
-0.084752,1,1.3107
0.42707,1,1.6384
-0.26262,1,1.6384
0.22132,1,1.3107
0.6866,1,1.6384
0.47893,0,1.6384
-0.42279,0,1.3107
0.28079,0,1.3107
-0.51992,1,1.0486
-0.80592,0,1.3107
0.40109,1,1.6384
-0.49368,0,1.6384
0.32091,0,1.3107
-0.48155,0,10
-0.89322,0,10
-1.0263,0,5
-0.1801,0,5
-0.75761,0,2.5
-0.16443,1,5
-0.22055,1,5
0.015718,1,2.5
-0.25916,0,5
-0.29915,0,5
-0.31134,0,2.5
0.057005,0,2.5
0.41346,0,5
0.24967,0,5
0.049936,0,3.3333
-0.044195,0,5
-0.80289,0,5
-0.14887,0,3.3333
0.37246,0,5
-0.033162,0,5
0.24788,0,3.3333
0.74569,0,5
1.0123,1,7.5
-1.1236,0,7.5
-0.39159,0,6
0.8039,1,6
0.42395,0,4.8
-0.43631,0,4.8
-0.79154,0,3.84
0.80041,0,3.84
0.16812,0,3.072
0.74828,1,3.84
-0.80976,1,3.84
0.56433,1,4.8
0.1668,1,4.8
0.16069,1,3.84
-0.25094,0,3.84
0.16997,1,3.072
-0.40681,1,3.072
0.6664,1,3.84
-0.3415,0,3.84
-0.46192,0,3.072
0.76647,0,3.072
6.4802e-05,0,3.84
-0.046234,1,3.84
-0.54163,0,3.072
0.31117,0,3.072
0.47818,0,2.4576
0.046306,1,3.072
0.067804,1,3.072
0.17105,1,2.4576
0.5147,1,2.4576
-0.13626,0,1.9661
-0.33559,0,1.9661
0.33337,0,1.5729
-0.73791,0,1.5729
-0.24035,1,1.2583
-0.33529,1,1.2583
0.077604,0,1.5729
-0.38387,0,1.9661
0.35604,0,1.9661
0.11738,0,2.4576
0.53548,0,2.4576
-0.81348,0,3.072
-0.56511,1,3.072
0.073471,1,3.84
-0.34198,0,4.8
1.5813,0,4.8
-0.033831,1,3.84
0.42241,1,3.84
-0.11408,0,3.072
-0.039575,0,3.072
-0.26552,0,2.4576
-0.31786,0,2.4576
-0.76813,0,3.072
-0.2153,0,3.072
0.60229,0,2.4576
0.61151,0,3.072
-0.72652,1,3.072
-0.34287,1,3.84
0.40738,1,3.84
-0.6669,0,4.8
-0.0062314,0,4.8
-1.1542,0,6
-0.67027,0,6
-1.0823,0,4.8
0.58928,0,4.8
0.11027,1,3.84
-0.02511,1,3.84
-1.1106,1,3.072
0.22069,1,3.84
0.71296,1,4.8
0.54434,1,4.8
0.73864,1,3.84
-0.32122,1,3.84
0.25455,1,3.072
-0.36955,1,3.072
0.18177,1,3.84
0.24888,1,3.84
-0.24414,1,3.072
0.83526,1,10
1.522,1,10
0.4555,1,5
0.52408,1,5
0.21754,1,2.5
-0.054652,0,2.5
-0.46325,0,5
0.8946,1,10
0.39948,1,10
-1.0063,0,5
0.25009,1,5
0.66605,0,2.5
0.049691,0,2.5
0.19709,1,5
-0.25687,1,5
0.27313,0,2.5
0.46164,1,5
0.089754,1,5
0.0096408,1,3.3333
-0.20026,0,3.3333
0.20429,1,5
0.019911,1,5
-0.43237,0,3.3333
-1.0223,0,3.3333
-0.28899,0,2.2222
-0.41151,0,2.2222
-0.018967,0,3.3333
0.12401,1,5
-0.22467,0,5
0.34039,1,3.3333
-0.86358,1,3.3333
-0.37389,1,2.2222
-0.25298,1,2.2222
-0.9678,1,1.4815
0.37552,1,1.4815
0.065147,1,2.2222
0.14451,1,2.2222
-0.2409,0,2.7778
0.67992,0,2.7778
0.015542,0,3.4722
-0.85418,0,3.4722
-0.13329,0,2.7778
0.27585,1,2.7778
0.29074,1,3.4722
-0.25722,0,3.4722
0.84221,0,2.7778
0.64805,1,3.4722
-0.68188,0,3.4722
0.15471,0,2.7778
0.54275,0,2.7778
0.15267,0,3.4722
-0.78584,0,4.3403
0.24941,0,4.3403
-0.4555,0,3.4722
-0.13199,0,3.4722
0.10395,1,2.7778
0.3499,1,2.7778
0.29034,1,3.4722
-0.51995,1,3.4722
0.26257,1,4.3403
-0.35176,0,4.3403
0.1341,0,3.4722
-0.47054,1,3.4722
0.56093,1,2.7778
0.31093,1,2.7778
0.33549,1,2.2222
-0.11068,1,2.2222
-0.21056,1,1.7778
-0.0028464,0,2.2222
0.048171,0,2.7778
-0.0049673,1,2.7778
-0.26658,1,2.2222
0.20274,1,2.2222
-0.11111,0,1.7778
-0.031448,1,2.2222
0.28528,0,2.7778
0.25846,0,2.7778
-1.0694,0,2.2222
1.173,1,2.2222
0.46748,1,1.7778
-0.2568,0,1.7778
0.12821,0,2.2222
0.2928,1,2.7778
-0.2964,1,2.7778
0.51377,0,3.4722
0.15961,0,3.4722
-0.73303,0,2.7778
0.17923,1,3.4722
-0.24797,0,3.4722
0.60728,0,2.7778
-0.026868,0,2.7778
0.8825,0,2.2222
-0.93617,0,2.2222
-0.21782,0,1.7778
0.79241,0,1.7778
-0.1293,0,2.2222
0.45719,0,2.2222
-0.33063,1,2.7778
-0.052299,0,2.7778
-0.65241,1,3.4722
0.28014,1,10
-0.02708,0,10
0.2962,1,8.3333
0.62075,1,8.3333
1.6106,1,6.9444
-0.036529,0,6.9444
-0.15955,0,5.787
-0.45276,0,5.787
0.24743,1,4.8225
-0.20281,0,4.8225
